row,col,value
Life Expectancy World Bank,Year,0.20032575
Life Expectancy World Bank,Life Expectancy World Bank,1
Life Expectancy World Bank,Prevalence of Undernourishment,-0.708330246
Life Expectancy World Bank,CO2,0.13060496
Life Expectancy World Bank,Health Expenditure %,0.341448946
Life Expectancy World Bank,Education Expenditure %,0.233884288
Life Expectancy World Bank,Unemployment,-0.048958717
Life Expectancy World Bank,Corruption,0.050805136
Life Expectancy World Bank,Sanitation,0.708275264
Life Expectancy World Bank,Injuries,-0.003606586
Life Expectancy World Bank,Communicable,-0.216455024
Life Expectancy World Bank,NonCommunicable,0.047623244
